club_name,category,year,source_url,notes
飲料調製社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
桌上遊戲社(交大校區),康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
赤狐魔術社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
交大熱舞社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
機械工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
青年⽅程式賽⾞隊,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
東南亞國際志工團,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
印度國際志工團,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
科技教育研討社,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
伊斯蘭學生社,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
程式競賽社,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
國際學生協會,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
梅竹後援會,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
僑生聯誼會交大分會,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
社會與文化研究所學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
傳播研究所學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
族群與文化研究所學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
管理科學研究所學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
光電工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
傳播與科技學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
人文社會學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
資訊管理與財務金融學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
運輸與物流管理學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
生物科技學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
材料科學與工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
外國語文學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
應用化學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
工業工程與管理學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
土木工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
電子物理學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
應用數學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
管理科學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
電機工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
資訊工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
書法社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
創客俱樂部,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
咖啡社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
漫畫社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
動畫社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
陶藝社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
交大攝影社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
競技啦啦隊,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
跑酷社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
交大瑜珈社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
